lexicon,group,cond,route,gold,reference,harm_pp,ci_lo,ci_hi,p_boot,p_min_seeds,p_max_seeds,n_draws,n_items
PSEUDO,"estimand changed, answer kept",all,backdoor,yes,ORACLE,-1.62,-5.75,2.37,0.428,0.4215,0.446,195,136
PSEUDO,"estimand changed, answer kept",all,backdoor,yes,RAW,24.14,17.52,30.66,0.0005,0.0005,0.0005,194,135
PSEUDO,"estimand changed, answer kept",all,backdoor,no,ORACLE,0.53,-3.59,4.79,0.808,0.7995,0.8175,156,114
PSEUDO,"estimand changed, answer kept",all,backdoor,no,RAW,-11.0,-17.83,-4.78,0.001,0.0005,0.001,156,114
PSEUDO,"estimand changed, answer kept",all,all,yes,ORACLE,-1.62,-5.75,2.37,0.428,0.4215,0.446,195,136
PSEUDO,"estimand changed, answer kept",all,all,yes,RAW,24.14,17.52,30.66,0.0005,0.0005,0.0005,194,135
PSEUDO,"estimand changed, answer kept",all,all,no,ORACLE,3.4,0.56,6.28,0.0155,0.013,0.02,632,268
PSEUDO,"estimand changed, answer kept",all,all,no,RAW,-3.72,-6.67,-0.87,0.01,0.0085,0.016,632,268
PSEUDO,answer changed,all,all,all,ORACLE,-22.57,-26.94,-18.22,0.0005,0.0005,0.0005,576,308
PSEUDO,answer changed,all,all,all,RAW,-7.01,-11.1,-3.0,0.0005,0.0005,0.001,575,308
PSEUDO,answer changed,DR_k1,all,all,ORACLE,-13.21,-19.39,-6.39,0.0005,0.0005,0.0005,159,159
PSEUDO,answer changed,DR_k1,all,all,RAW,1.26,-3.98,6.92,0.642,0.6305,0.6675,159,159
PSEUDO,answer changed,DR_k2,all,all,ORACLE,-24.2,-29.42,-19.13,0.0005,0.0005,0.0005,230,230
PSEUDO,answer changed,DR_k2,all,all,RAW,-8.15,-12.88,-3.64,0.0005,0.0005,0.001,229,229
PSEUDO,answer changed,DR_k3,all,all,ORACLE,-28.52,-34.14,-22.82,0.0005,0.0005,0.0005,187,187
PSEUDO,answer changed,DR_k3,all,all,RAW,-12.66,-17.83,-7.49,0.0005,0.0005,0.0005,187,187
PSEUDO,answer changed,all,no path,all,ORACLE,-29.31,-34.54,-24.26,0.0005,0.0005,0.0005,460,260
PSEUDO,answer changed,all,no path,all,RAW,-11.07,-15.58,-6.76,0.0005,0.0005,0.0005,459,260
PSEUDO,answer changed,all,no path,yes,ORACLE,-29.31,-34.54,-24.26,0.0005,0.0005,0.0005,460,260
PSEUDO,answer changed,all,no path,yes,RAW,-11.07,-15.58,-6.76,0.0005,0.0005,0.0005,459,260
PSEUDO,answer changed,all,backdoor,all,ORACLE,4.17,-0.58,9.28,0.0975,0.091,0.1085,116,93
PSEUDO,answer changed,all,backdoor,all,RAW,9.05,2.92,15.4,0.002,0.001,0.0045,116,93
PSEUDO,answer changed,all,backdoor,yes,ORACLE,-0.29,-6.67,6.21,0.9415,0.922,0.955,58,46
PSEUDO,answer changed,all,backdoor,yes,RAW,10.63,0.28,20.77,0.046,0.042,0.0495,58,46
PSEUDO,answer changed,all,backdoor,no,ORACLE,8.62,1.75,16.94,0.0095,0.0075,0.011,58,47
PSEUDO,answer changed,all,backdoor,no,RAW,7.47,0.88,14.08,0.0295,0.0225,0.0295,58,47
PSEUDO,answer changed,all,all,yes,ORACLE,-26.06,-30.57,-21.3,0.0005,0.0005,0.0005,518,261
PSEUDO,answer changed,all,all,yes,RAW,-8.64,-12.93,-4.42,0.0005,0.0005,0.0005,517,261
PSEUDO,answer changed,all,all,no,ORACLE,8.62,1.75,16.94,0.0095,0.0075,0.011,58,47
PSEUDO,answer changed,all,all,no,RAW,7.47,0.88,14.08,0.0295,0.0225,0.0295,58,47
both,estimand kept,all,all,all,ORACLE,0.85,-1.93,3.63,0.543,0.5385,0.5525,108,108
both,estimand kept,all,all,all,RAW,2.31,-1.85,6.56,0.279,0.279,0.302,108,108
both,estimand kept,DR_k1,all,all,ORACLE,0.85,-1.93,3.63,0.543,0.5385,0.5525,108,108
both,estimand kept,DR_k1,all,all,RAW,2.31,-1.85,6.56,0.279,0.279,0.302,108,108
both,estimand kept,all,backdoor,all,ORACLE,0.85,-1.93,3.63,0.543,0.5385,0.5525,108,108
both,estimand kept,all,backdoor,all,RAW,2.31,-1.85,6.56,0.279,0.279,0.302,108,108
both,estimand kept,all,backdoor,yes,ORACLE,2.61,-1.96,7.03,0.2595,0.237,0.2645,51,51
both,estimand kept,all,backdoor,yes,RAW,13.73,8.5,19.28,0.0005,0.0005,0.0005,51,51
both,estimand kept,all,backdoor,no,ORACLE,-0.73,-4.09,2.49,0.6775,0.652,0.6975,57,57
both,estimand kept,all,backdoor,no,RAW,-7.89,-13.45,-2.63,0.003,0.0015,0.003,57,57
both,estimand kept,all,all,yes,ORACLE,2.61,-1.96,7.03,0.2595,0.237,0.2645,51,51
both,estimand kept,all,all,yes,RAW,13.73,8.5,19.28,0.0005,0.0005,0.0005,51,51
both,estimand kept,all,all,no,ORACLE,-0.73,-4.09,2.49,0.6775,0.652,0.6975,57,57
both,estimand kept,all,all,no,RAW,-7.89,-13.45,-2.63,0.003,0.0015,0.003,57,57
both,"estimand changed, answer kept",all,all,all,ORACLE,1.19,-0.31,2.74,0.1255,0.119,0.1295,829,405
both,"estimand changed, answer kept",all,all,all,RAW,2.53,0.69,4.42,0.0065,0.006,0.008,829,405
both,"estimand changed, answer kept",DR_k1,all,all,ORACLE,-1.03,-3.11,1.12,0.3445,0.327,0.346,268,268
both,"estimand changed, answer kept",DR_k1,all,all,RAW,3.2,0.62,5.72,0.0165,0.011,0.021,268,268
both,"estimand changed, answer kept",DR_k2,all,all,ORACLE,0.7,-1.32,2.72,0.499,0.498,0.5125,309,309
both,"estimand changed, answer kept",DR_k2,all,all,RAW,0.97,-1.48,3.34,0.4015,0.4015,0.443,309,309
both,"estimand changed, answer kept",DR_k3,all,all,ORACLE,4.13,1.79,6.58,0.0005,0.0005,0.0015,252,252
