ho,dl,err,gt,got
mediation,ETT(Y | X),1.1102230246251565e-16,0.13232300190692448,0.13232300190692436
mediation,NDE(Y | X),2.220446049250313e-16,0.3442110999804773,0.3442110999804775
mediation,NIE(Y | X),3.3306690738754696e-16,-0.21236076977904944,-0.21236076977904977
mediation,P(Y=1 | X=1),0.0,0.6836643273999854,0.6836643273999854
mediation,P(Y=1 | X=0),1.942890293094024e-16,0.19568691380685446,0.19568691380685427
mediation,P(X=1),5.551115123125783e-16,0.8182556370458818,0.8182556370458823
mediation,P(V2=1),1.1102230246251565e-16,0.4382207965742194,0.4382207965742193
mediation,P(Y=1),0.0002748207458752594,0.5947023624846285,0.5949771832305037
mediation,ATE(Y | X),1.6653345369377348e-16,0.48797741359313096,0.4879774135931311
mediation,ETT(Y | X),1.6653345369377348e-16,0.48797741359313096,0.4879774135931311
mediation,NDE(Y | X),1.6653345369377348e-16,0.4483132295885046,0.4483132295885048
mediation,NIE(Y | X),5.551115123125783e-17,0.03781619425239313,0.037816194252393076
mediation,P(Y=1 | X=1),2.220446049250313e-16,0.46843167145690495,0.46843167145690473
mediation,P(Y=1 | X=0),1.1102230246251565e-16,0.40858288808696613,0.40858288808696624
mediation,P(X=1),1.1102230246251565e-16,0.6588657122393854,0.6588657122393855
mediation,P(V2=1),4.440892098500626e-16,0.21527216450826983,0.2152721645082694
mediation,P(Y=1),0.004559850906395213,0.44345534846226614,0.44801519936866135
mediation,ATE(Y | X),2.7755575615628914e-16,0.05984878336993882,0.05984878336993854
mediation,ETT(Y | X),2.7755575615628914e-16,0.05984878336993882,0.05984878336993854
mediation,NDE(Y | X),5.551115123125783e-17,0.33431045044186686,0.3343104504418669
mediation,NIE(Y | X),5.551115123125783e-16,-0.2947491591182944,-0.29474915911829497
mediation,P(Y=1 | X=1),1.1102230246251565e-16,0.7122450281779065,0.7122450281779066
mediation,P(Y=1 | X=0),1.1102230246251565e-16,0.2617671967526229,0.2617671967526228
mediation,P(X=1),4.440892098500626e-16,0.8845451372845824,0.8845451372845828
mediation,P(V2=1),0.0,0.5270890208296162,0.5270890208296162
mediation,P(Y=1),6.72756491281179e-05,0.6601678963452335,0.6602351719943617
mediation,ATE(Y | X),3.3306690738754696e-16,0.4504778314252836,0.4504778314252839
mediation,ETT(Y | X),3.3306690738754696e-16,0.4504778314252836,0.4504778314252839
mediation,NDE(Y | X),3.3306690738754696e-16,0.4299836239501624,0.4299836239501627
mediation,NIE(Y | X),0.0,0.01983544983011215,0.01983544983011215
mediation,P(Y=1 | X=1),1.1102230246251565e-16,0.488383496553252,0.48838349655325186
mediation,P(Y=1 | X=0),0.0,0.5141860673105013,0.5141860673105013
mediation,P(X=1),3.3306690738754696e-16,0.7738663089357136,0.773866308935714
mediation,P(V2=1),3.3306690738754696e-16,0.39164787977909676,0.39164787977909643
mediation,P(Y=1),0.0011195261742258378,0.49533785329176194,0.4942183271175361
mediation,ATE(Y | X),1.1102230246251565e-16,-0.025802570757249343,-0.025802570757249454
mediation,ETT(Y | X),1.1102230246251565e-16,-0.025802570757249343,-0.025802570757249454
mediation,NDE(Y | X),4.440892098500626e-16,0.3240891122848958,0.32408911228489623
mediation,NIE(Y | X),4.440892098500626e-16,-0.34349428989853403,-0.3434942898985345
mediation,P(Y=1 | X=1),1.1102230246251565e-16,0.9032441572232999,0.9032441572233
mediation,P(Y=1 | X=0),5.551115123125783e-17,0.2684546645844269,0.26845466458442685
mediation,P(X=1),3.3306690738754696e-16,0.7728276852581042,0.7728276852581045
mediation,P(V2=1),3.3306690738754696e-16,0.7148752571698688,0.7148752571698691
mediation,P(Y=1),0.0003719802012449591,0.7594095390079388,0.7590375588066939
mediation,ATE(Y | X),3.3306690738754696e-16,0.634789492638873,0.6347894926388733
mediation,ETT(Y | X),3.3306690738754696e-16,0.634789492638873,0.6347894926388733
mediation,NDE(Y | X),1.1102230246251565e-16,0.4989023297216105,0.49890232972161064
mediation,NIE(Y | X),2.7755575615628914e-16,0.1380059228437865,0.13800592284378677
mediation,P(Y=1 | X=1),0.0,0.6630921560595192,0.6630921560595192
mediation,P(Y=1 | X=0),1.1102230246251565e-16,0.41911966682976864,0.41911966682976853
mediation,P(X=1),3.3306690738754696e-16,0.7946353629265784,0.7946353629265788
mediation,P(V2=1),2.220446049250313e-16,0.40021613556094765,0.40021613556094743
mediation,P(Y=1),0.0007265945781672611,0.612262239774785,0.6129888343529523
mediation,ATE(Y | X),5.551115123125783e-17,0.24397248922975057,0.24397248922975062
mediation,ETT(Y | X),5.551115123125783e-17,0.24397248922975057,0.24397248922975062
mediation,NDE(Y | X),1.6653345369377348e-16,0.36526697280394127,0.36526697280394144
mediation,NIE(Y | X),5.551115123125783e-17,-0.1257469289764619,-0.12574692897646195
mediation,P(Y=1 | X=1),0.0,0.6797020709869198,0.6797020709869198
